createdAt;description;price;sku;updatedAt
1648220931.9533525;Test singular GET;14.77;Tc5tUiQn29mJPc8X0lSM;1648220931.9533525
1648222666.708568;Test singular GET;14.77;wSZ6xZOHcuEf4haNDMNk;1648222666.708568
1648268622.5765953;Test delete SKU;3.33;LagZOsLKj87BMJt5xtkH;1648268622.5765953
1648220854.806151;Test singular GET;14.77;f7lfY1QTemvlkX7sBBxn;1648220854.806151
1648214144.4784358;Chocolate Chip Cookie;1.29;cookie90182zx;1648214144.4784358
1648222779.743611;Test singular GET;14.77;LiNcwO1RoM0Nto1x96kY;1648222779.743611
1668054562.6294103;lawn mower;325;HBnqg63sCOr5pwSNJJry;1668054562.6294103
1668258245.5922093;lawn mower;325;boohoohoo12345;1668258245.5922093
1650477157.9046106;Leaf Blower;75.87;770-783-NV3000;1650477157.9046106
1648563228.9480927;Test singular GET;14.77;awFkAW8n0ZvOPPp4klxO;1648563228.9480927
1648222698.7572865;Modified test;1.29;cdZCSvkwEXp6bbR0WXE1;1648222698.7572865
1648564290.798573;Test Thing;3.22;BpZQV29kNGWMA36FEaA7;1648564290.798573
1648563505.534558;Test Thing;3.22;WgyltL2S54FaKE2Atork;1648563505.534558
1667855909.8425436;Jelly donut;2.99;berliber;1667855909.8425436
1648563225.9295;Test Thing;3.22;7prNNyqA8fYGlJQrMCtV;1648563225.9295
1648223783.0628107;Test singular GET;14.77;WaAiQeoG5uwKcLyg4Brl;1648223783.0628107
1648563535.5005934;Test delete SKU;3.33;Qj9objOvSo8z1x2idTZT;1648563535.5005934
1648222698.381783;Test singular GET;14.77;JHUHOG9nckQFct7JM3je;1648222698.381783
1648223869.9470253;Test singular GET;14.77;S9ExbdILbmC5LZ6ABGBB;1648223869.9470253
1650477139.4983416;Lumber(2X4);20.99;678-889-LU2911;1650477139.4983416
1648562363.1775358;Test singular GET;14.77;jA840vpiLo7nAQH4GOhn;1648562363.1775358
1650477141.7178519;Screw driver;3.45;770-667-NV6501;1650477141.7178519
1648561256.1607325;Modified test;1.29;Fac8k6Apb0gmJX4HvnMf;1648561256.1607325
1648223614.036666;Modified test;1.29;asZuSlzUzyeHZJpbq5SP;1648223614.036666
1648564258.9834104;Modified test;1.29;3DGSt7mWkIlVc6wjOcKt;1648564258.9834104
1648223781.9440951;Test Thing;3.22;FtHRHGxx7bJqCZJo2uj2;1648223781.9440951
1648221130.7399457;Test singular GET;14.77;IjoA9tdBgoq7KZPUs66x;1648221130.7399457
1648221130.3374152;Test Thing;3.22;LGGno8RUCMK9w5BNJWCY;1648221130.3374152
1648224528.920113;Test delete SKU;3.33;xVaJUVte9hIPmv7S3GVE;1648224528.920113
1648223869.0938907;Test delete SKU;3.33;WsNO8SYhZdRUscGwyJv9;1648223869.0938907
1648563226.0945241;Test delete SKU;3.33;0Jn15IoVV1npavNZoXJE;1648563226.0945241
1651000007.8801677;red, white, and blue bomb pop;.10;2;1651000007.8801677
1668044901.7287877;fooDesc;103;12345543210;1668044901.7287877
1648222394.1299455;Test singular GET;14.77;zPPhUSJ2IarDzYEXDltf;1648222394.1299455
1650477152.929208;;567900.34;770-787-RT8924;1650477152.929208
1648268624.9864633;Test singular GET;14.77;y9Tt7GktcyNt5SFNNI4P;1648268624.9864633
1648224553.3437767;Test delete SKU;3.33;j6uVwDgkvl6IReJ2GTaK;1648224553.3437767
1648223648.4347217;Test delete SKU;3.33;362lPadzChzBgKSHOxwe;1648223648.4347217
1648223650.0699522;Test singular GET;14.77;UBBgTxktnq20HBkwV98L;1648223650.0699522
1648224553.2015269;Test Thing;3.22;UVnTwjWkTQuHNEOkssVC;1648224553.2015269
1648222666.1281009;Test Thing;3.22;gxSOI50AaPSROVIh8hdK;1648222666.1281009
1648223971.5643597;Test singular GET;14.77;qL5HKJxi0GlWwD4IeS5F;1648223971.5643597
1648563540.8070993;Modified test;1.29;VQlgcvvug9u4qMfqr0VN;1648563540.8070993
1648221277.4588907;Test singular GET;14.77;sMxGhEvySRGtXx8OPsEg;1648221277.4588907
1648219217.6591115;Test Thing;3.22;TtPCG4mHyu8zH5hI6eTZ;1648219217.6591115
1648224892.192679;Modified test;1.29;k285DLVaZ1fTWwKFcSFe;1648224892.192679
1648224501.8812492;Modified test;1.29;vP2gGI6tjKV5NFKqsHKT;1648224501.8812492
1648219439.9405587;Test Thing;3.22;K4TDNQk7jHFtW3JkCld3;1648219439.9405587
1668049952.6625288;lawn mower;325;64b822b4-b357-45fc-889d-fd78113fe720;1668049952.6625288
1667850483.2292717;Red apple;3.99;new yorker - 2;1667850483.2292717
1651000007.8895912;double scoop cup;.60;8;1651000007.8895912
1648561523.2696598;Test Thing;3.22;e9KY6pJgxocgDblai5OM;1648561523.2696598
1648560868.2512913;Test Thing;3.22;wfR3updu87Y48y36EYG0;1648560868.2512913
1668049966.943966;weed whacker;225;139d95b7-a46e-41db-86e8-08e820d7be74;1668049966.943966
1648223611.842306;Test Thing;3.22;vu4fYatc2Bf1voCMw2ng;1648223611.842306
1648561524.4395702;Test singular GET;14.77;y8vQlkDYPdvcNB5MEGIt;1648561524.4395702
1651000007.876021;double scoop cone;.70;9;1651000007.876021
1648223971.9730663;Modified test;1.29;N0XbUTdYGnH6ndpSvYbF;1648223971.9730663
1651000007.9241562;vanilla ice cream sandwich;.25;1;1651000007.9241562
1648223782.0947697;Test delete SKU;3.33;582xBuuOUraxdMXulTL9;1648223782.0947697
1648222885.0521;Modified test;1.29;WuEn9zswOwAO5hcrnt6b;1648222885.0521
1648563506.0273104;Test delete SKU;3.33;xItSLwEuckMBsQVKyASs;1648563506.0273104
1648221080.0368345;Test Thing;3.22;2ekQRi0VpnFxNXsgqGTl;1648221080.0368345
1648222752.5004213;Test Thing;3.22;GlFnupyWIfjjSDa1k9iR;1648222752.5004213
1648220542.1511931;Test Thing;3.22;zjVLZOn8lALTbIjfF4QK;1648220542.1511931
1648560872.7649746;Test singular GET;14.77;P7y12uC7NjKMF2NS47Ep;1648560872.7649746
1648223648.2466967;Test Thing;3.22;rfNgoXoGwxj5tc0EadRE;1648223648.2466967
1648224558.109118;Test singular GET;14.77;XpDP6fzDyadYR17v81Xf;1648224558.109118
1648219826.1233852;Test Thing;3.22;IcOkCiRJCpRr7bPDV0QR;1648219826.1233852
1668052273.6496494;weed whacker;225;7f375a00-01ac-47c1-aab4-603e85b442c8;1668052273.6496494
1650984038.529331;description;price;sku;1650984038.529331
1648564293.4639685;Test singular GET;14.77;xEpjZB4856d0e3elMarg;1648564293.4639685
1648220931.3972628;Test Thing;3.22;Wm6akTbHLFmEgGn8XXtE;1648220931.3972628
1648564243.0364528;Test delete SKU;3.33;wUhR6mxs79VjXqenIakk;1648564243.0364528
1648224891.0959065;Test delete SKU;3.33;3j0g7LdEPdPlan1YmCVK;1648224891.0959065
1648220542.657296;Test singular GET;14.77;FnkmGB6BOni1iHelLBdE;1648220542.657296
1648222546.9512987;Test Thing;3.22;c2nWKUv3ekmerE9cqNHD;1648222546.9512987
1648564257.7322779;Test Thing;3.22;u6HfLNKn9jUnDhckDpuu;1648564257.7322779
1668258248.2254736;weed whacker;225;d5fbaabc-9cf7-49a1-9b2f-172acbf47bee;1668258248.2254736
1648224852.535314;Test Thing;3.22;ZfGqB8gjlX1cQIKKOnJE;1648224852.535314
1648222884.1039774;Test Thing;3.22;CJ6v2EV0F2l2raeL0IpW;1648222884.1039774
1648577445.9223368;Test Thing;3.22;Yt9QFZQWIMFTC0rj6Mzi;1648577445.9223368
1648560868.7679274;Test delete SKU;3.33;HNaGD0bcSSqMFasNyQnU;1648560868.7679274
1648223783.468519;Modified test;1.29;tEBldSMMpIg5fzMbvOBO;1648223783.468519
1656009346.5930684;Jelly donut;2.99;berliner1;1656009346.5930684
